Timestamp,Sector,Organisation_Size,Fleet_Size,Monthly_Fuel_Spend NGN,Fuel_Theft_Incidents,Fuel_pct_of_Budget,Monthly_Fuel_Transactions,Payment_Method,Digital_Tracking_Usage,Satisfaction_1_5,Hours_Week_on_Reconciliation,Smart_Card_Adoption,Cost_Savings_pct,Fuel_Spend_Trend,Digital_Tool_Start_Date,Role,State,Years_Managing_Fleet,Adoption_Barrier,Annual_Fuel_Spend_NGN
5/4/2026 08:54:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,21 - 50,"£12,136,919.00",4,56,26,COMPANY ACCOUNT/ CREDIT,NO,5,18,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,Ogun,6,NO PERCEIVED NEED,145305101
5/4/2026 10:49:00,MANUFACTURING,1 - 10 EMPLOYEES,6 - 20,"£24,760,613.00",4,48,324,COMPANY ACCOUNT/ CREDIT,YES,5,8,NO I WOULD NOT,0,INCREASED,May 2025,OPERATIONS MANAGER,Oyo,5,LACK OF AWARENESS,296876852
5/4/2026 10:58:00,MANUFACTURING,1 - 10 EMPLOYEES,1 - 5,"£7,934,903.00",1,50,92,MIX OF CASH AND CARD,YES,4,18,YES I WOULD,0,INCREASED,Nov 2025,Fleet Manager,Delta,1,NO PERCEIVED NEED,95170989
5/4/2026 11:09:00,CONSTRUCTION,11 - 50 EMPLOYEES,1 - 5,"£23,628,582.00",3,66,70,MIX OF CASH AND CARD,PLANNING TO,2,16,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Delta,14,LACK OF AWARENESS,283986367
5/4/2026 11:32:00,Other,1 - 10 EMPLOYEES,21 - 50,"£10,914,983.00",3,20,359,MIX OF CASH AND CARD,NO,5,8,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Lagos,5,TRUST AND SECURITY,131368704
5/4/2026 11:56:00,MANUFACTURING,11 - 50 EMPLOYEES,21 - 50,"£21,455,317.00",2,64,81,FUEL CARD ONLY,PLANNING TO,1,12,YES I WOULD,0,STAYED THE SAME,not applicable ,Finance Manager,Oyo,11,NO PERCEIVED NEED,257625013
5/4/2026 13:09:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,6 - 20,"£13,464,642.00",1,35,69,COMPANY ACCOUNT/ CREDIT,NO,1,17,NOT SURE,0,INCREASED,not applicable ,Fleet Manager,Rivers,7,COST,161418443
5/4/2026 13:26:00,PUBLIC SECTOR,200 +,21 - 50,"£20,052,879.00",1,32,131,MIX OF CASH AND CARD,PLANNING TO,4,22,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Ogun,1,COST,240911974
5/4/2026 15:10:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,1 - 5,"£8,983,505.00",0,27,329,MIX OF CASH AND CARD,NO,4,12,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Oyo,6,TRUST AND SECURITY,108070371
5/4/2026 15:54:00,CONSTRUCTION,51 - 200 EMPLOYEES,100 +,"£13,319,274.00",1,41,394,CASH ONLY,YES,5,12,NO I WOULD NOT,0,INCREASED,Mar 2023,Finance Manager,Lagos,13,NO PERCEIVED NEED,160172319
5/4/2026 17:06:00,Other,51 - 200 EMPLOYEES,51 - 100,"£23,648,703.00",3,63,41,CASH ONLY,NO,1,9,NOT SURE,0,STAYED THE SAME,not applicable ,Fleet Manager,Kano,6,LACK OF AWARENESS,284140795
5/4/2026 18:42:00,OIL AND GAS,11 - 50 EMPLOYEES,100 +,"£2,731,386.00",6,63,186,MIX OF CASH AND CARD,YES,2,19,NOT SURE,0,INCREASED,Sep 2022,CEO/DIRECTOR,Delta,3,NO PERCEIVED NEED,32377706
5/4/2026 19:52:00,OIL AND GAS,1 - 10 EMPLOYEES,21 - 50,"£18,730,150.00",7,36,20,MIX OF CASH AND CARD,NO,3,22,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Ogun,8,COST,224464432
5/4/2026 20:33:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,1 - 5,"£12,500,428.00",1,54,155,CASH ONLY,NO,4,7,NO I WOULD NOT,0,DECREASED,not applicable ,CEO/DIRECTOR,Abuja,14,NO PERCEIVED NEED,149675544
5/4/2026 22:09:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£9,271,063.00",3,53,332,COMPANY ACCOUNT/ CREDIT,YES,5,22,NOT SURE,0,DECREASED,Dec 2022,OPERATIONS MANAGER,Delta,9,COST,111653877
5/4/2026 22:51:00,MANUFACTURING,1 - 10 EMPLOYEES,21 - 50,"£19,321,242.00",2,55,313,COMPANY ACCOUNT/ CREDIT,YES,3,23,YES I WOULD,0,STAYED THE SAME,Sep 2023,CEO/DIRECTOR,Abuja,11,NO PERCEIVED NEED,232082783
5/5/2026 00:26:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,100 +,"£17,930,917.00",1,63,181,CASH ONLY,NO,3,14,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Finance Manager,Oyo,6,COST,215084937
5/5/2026 00:44:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£24,294,243.00",1,34,96,COMPANY ACCOUNT/ CREDIT,NO,2,4,NOT SURE,0,DECREASED,not applicable ,CEO/DIRECTOR,Delta,14,LACK OF AWARENESS,291721117
5/5/2026 01:55:00,CONSTRUCTION,11 - 50 EMPLOYEES,1 - 5,"£9,491,863.00",3,58,187,MIX OF CASH AND CARD,PLANNING TO,3,15,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,Delta,4,TRUST AND SECURITY,114117102
5/5/2026 02:32:00,MANUFACTURING,51 - 200 EMPLOYEES,6 - 20,"£3,382,039.00",0,50,80,COMPANY ACCOUNT/ CREDIT,NO,5,5,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Kano,12,COST,40684673
5/5/2026 03:18:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,1 - 5,"£12,413,676.00",3,49,337,CASH ONLY,PLANNING TO,1,12,YES I WOULD,0,STAYED THE SAME,not applicable ,Finance Manager,Oyo,1,COST,148531301
5/5/2026 05:56:00,CONSTRUCTION,51 - 200 EMPLOYEES,6 - 20,"£8,585,233.00",1,40,120,COMPANY ACCOUNT/ CREDIT,NO,3,21,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Rivers,6,LACK OF AWARENESS,103289497
5/5/2026 07:02:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£23,498,705.00",1,44,367,CASH ONLY,YES,1,17,YES I WOULD,0,DECREASED,Jul 2024,Fleet Manager,Delta,8,LACK OF AWARENESS,282081123
5/5/2026 08:47:00,MANUFACTURING,11 - 50 EMPLOYEES,51 - 100,"£6,316,417.00",2,54,186,MIX OF CASH AND CARD,NO,4,20,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,7,COST,75536844
5/5/2026 10:28:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£4,560,830.00",2,29,184,MIX OF CASH AND CARD,NO,2,10,NOT SURE,0,STAYED THE SAME,not applicable ,Fleet Manager,Rivers,4,TRUST AND SECURITY,54752452
5/5/2026 10:34:00,OIL AND GAS,51 - 200 EMPLOYEES,1 - 5,"£8,137,542.00",0,31,31,MIX OF CASH AND CARD,NO,2,18,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,6,NO PERCEIVED NEED,97915036
5/5/2026 13:47:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,1 - 5,"£15,849,875.00",3,22,215,FUEL CARD ONLY,YES,3,8,YES I WOULD,0,STAYED THE SAME,Jul 2025,OPERATIONS MANAGER,Abuja,12,TRUST AND SECURITY,190136579
5/5/2026 15:15:00,MANUFACTURING,11 - 50 EMPLOYEES,21 - 50,"£17,814,157.00",1,37,383,COMPANY ACCOUNT/ CREDIT,NO,3,14,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Kaduna,14,LACK OF AWARENESS,213893337
5/5/2026 17:10:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,21 - 50,"£3,036,901.00",1,65,36,FUEL CARD ONLY,PLANNING TO,3,22,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Abuja,2,COST,36646919
5/5/2026 17:27:00,MANUFACTURING,11 - 50 EMPLOYEES,6 - 20,"£14,580,352.00",3,43,193,CASH ONLY,NO,1,24,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Rivers state ,12,COST,175026739
5/5/2026 17:32:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,1 - 5,"£12,111,344.00",1,52,159,FUEL CARD ONLY,YES,5,13,YES I WOULD,0,INCREASED,Feb 2024,OPERATIONS MANAGER,Rivers,11,COST,145234542
5/5/2026 18:42:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£14,813,740.00",2,62,367,CASH ONLY,YES,4,19,ALREADY USING IT,9,STAYED THE SAME,Mar 2025,Fleet Manager,Oyo,2,LACK OF AWARENESS,177610587
5/5/2026 22:38:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,51 - 100,"£15,079,472.00",1,37,23,COMPANY ACCOUNT/ CREDIT,NO,3,15,NO I WOULD NOT,0,INCREASED,not applicable ,Fleet Manager,Lagos,6,TRUST AND SECURITY,180818265
5/6/2026 01:07:00,OIL AND GAS,1 - 10 EMPLOYEES,1 - 5,"£1,004,488.00",2,35,181,FUEL CARD ONLY,NO,5,5,ALREADY USING IT,22,INCREASED,not applicable ,OPERATIONS MANAGER,Delta,11,TRUST AND SECURITY,12200157
5/6/2026 01:33:00,MANUFACTURING,11 - 50 EMPLOYEES,51 - 100,"£18,713,154.00",0,31,36,MIX OF CASH AND CARD,NO,4,15,NOT SURE,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Kano,6,COST,224521598
5/6/2026 02:33:00,LOGISTICS/TRANSPORT,200 +,1 - 5,"£3,878,145.00",4,33,151,MIX OF CASH AND CARD,NO,3,19,YES I WOULD,0,STAYED THE SAME,not applicable ,Finance Manager,Kaduna state ,12,TRUST AND SECURITY,47016260
5/6/2026 02:53:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,100 +,"£16,091,747.00",2,63,262,CASH ONLY,NO,3,5,NOT SURE,0,DECREASED,not applicable ,CEO/DIRECTOR,Abuja,8,LACK OF AWARENESS,193328257
5/6/2026 06:30:00,MANUFACTURING,51 - 200 EMPLOYEES,51 - 100,"£20,967,825.00",2,67,338,COMPANY ACCOUNT/ CREDIT,YES,4,14,NOT SURE,0,STAYED THE SAME,Sep 2022,CEO/DIRECTOR,Kano,14,TRUST AND SECURITY,251859165
5/6/2026 07:55:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,100 +,"£22,089,789.00",5,25,186,MIX OF CASH AND CARD,YES,1,6,YES I WOULD,0,INCREASED,Nov 2022,Finance Manager,Rivers,12,TRUST AND SECURITY,265179281
5/6/2026 08:23:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,51 - 100,"£24,144,953.00",5,23,49,CASH ONLY,PLANNING TO,4,24,ALREADY USING IT,7,STAYED THE SAME,not applicable ,CEO/DIRECTOR,ILLORIN ,12,TRUST AND SECURITY,289448816
5/6/2026 09:07:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,21 - 50,"£22,742,572.00",4,32,141,CASH ONLY,NO,4,3,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,Kaduna,7,LACK OF AWARENESS,273323957
5/6/2026 11:08:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£13,789,170.00",3,68,278,MIX OF CASH AND CARD,YES,2,24,YES I WOULD,0,INCREASED,Aug 2024,OPERATIONS MANAGER,benin,3,NO PERCEIVED NEED,165410235
5/6/2026 12:05:00,MANUFACTURING,1 - 10 EMPLOYEES,21 - 50,"£2,153,318.00",1,35,110,FUEL CARD ONLY,NO,5,22,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,Finance Manager,uyo,7,LACK OF AWARENESS,25649565
5/6/2026 13:22:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£5,985,266.00",3,22,350,CASH ONLY,YES,3,3,NOT SURE,0,STAYED THE SAME,Jan 2022,OPERATIONS MANAGER,PORT HARCOURT ,9,TRUST AND SECURITY,71575917
5/6/2026 14:45:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,1 - 5,"£2,758,602.00",1,58,130,FUEL CARD ONLY,NO,2,20,ALREADY USING IT,24,INCREASED,not applicable ,Fleet Manager,Ogun,2,COST,33354800
5/6/2026 15:36:00,CONSTRUCTION,1 - 10 EMPLOYEES,51 - 100,"£21,182,441.00",0,62,393,COMPANY ACCOUNT/ CREDIT,NO,3,2,YES I WOULD,0,STAYED THE SAME,not applicable ,Finance Manager,Ogun,4,NO PERCEIVED NEED,253857912
5/6/2026 16:40:00,OIL AND GAS,11 - 50 EMPLOYEES,6 - 20,"£5,584,352.00",0,66,90,CASH ONLY,NO,2,7,NO I WOULD NOT,0,INCREASED,not applicable ,Finance Manager,Abuja,4,TRUST AND SECURITY,67245897
5/6/2026 16:56:00,CONSTRUCTION,11 - 50 EMPLOYEES,21 - 50,"£23,825,273.00",6,20,371,FUEL CARD ONLY,YES,4,10,YES I WOULD,0,STAYED THE SAME,Aug 2024,CEO/DIRECTOR,KANO STATE ,13,NO PERCEIVED NEED,286356239
5/6/2026 17:11:00,LOGISTICS/TRANSPORT,200 +,6 - 20,"£4,062,976.00",2,36,198,CASH ONLY,PLANNING TO,2,13,YES I WOULD,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Ogun,1,LACK OF AWARENESS,48374200
5/6/2026 20:04:00,LOGISTICS/TRANSPORT,200 +,6 - 20,"£23,878,228.00",1,60,224,MIX OF CASH AND CARD,PLANNING TO,3,21,NOT SURE,0,INCREASED,not applicable ,Finance Manager,Kaduna,5,COST,286488680
5/6/2026 21:23:00,MANUFACTURING,51 - 200 EMPLOYEES,6 - 20,"£5,431,858.00",5,57,154,COMPANY ACCOUNT/ CREDIT,PLANNING TO,3,6,NO I WOULD NOT,0,INCREASED,not applicable ,CEO/DIRECTOR,Abuja,14,NO PERCEIVED NEED,65519797
5/6/2026 21:54:00,OIL AND GAS,11 - 50 EMPLOYEES,21 - 50,"£7,451,696.00",2,45,247,CASH ONLY,NO,3,23,YES I WOULD,0,INCREASED,not applicable ,CEO/DIRECTOR,OGUN STATE ,6,NO PERCEIVED NEED,89548884
5/7/2026 00:14:00,LOGISTICS/TRANSPORT,200 +,100 +,"£18,059,321.00",1,23,254,FUEL CARD ONLY,NO,5,5,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Ogun,2,NO PERCEIVED NEED,216910650
5/7/2026 01:56:00,MANUFACTURING,1 - 10 EMPLOYEES,1 - 5,"£22,383,993.00",1,40,337,MIX OF CASH AND CARD,PLANNING TO,1,8,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Oyo,3,NO PERCEIVED NEED,268506131
5/7/2026 02:13:00,OIL AND GAS,51 - 200 EMPLOYEES,6 - 20,"£22,287,650.00",2,32,153,FUEL CARD ONLY,NO,4,14,YES I WOULD,0,DECREASED,not applicable ,OPERATIONS MANAGER,Lagos,9,TRUST AND SECURITY,267020236
5/7/2026 05:17:00,Other,200 +,6 - 20,"£12,301,230.00",2,38,156,MIX OF CASH AND CARD,NO,1,6,NOT SURE,0,DECREASED,not applicable ,Finance Manager,IBADAN,7,TRUST AND SECURITY,147191588
5/7/2026 07:24:00,CONSTRUCTION,11 - 50 EMPLOYEES,21 - 50,"£11,358,344.00",2,24,270,FUEL CARD ONLY,PLANNING TO,2,4,ALREADY USING IT,11,INCREASED,not applicable ,CEO/DIRECTOR,Oyo,11,LACK OF AWARENESS,136303639
5/7/2026 07:50:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£24,568,392.00",0,65,50,MIX OF CASH AND CARD,NO,4,12,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Abuja,4,COST,295158453
5/7/2026 09:16:00,MANUFACTURING,51 - 200 EMPLOYEES,6 - 20,"£12,958,870.00",3,32,160,MIX OF CASH AND CARD,YES,2,10,NOT SURE,0,INCREASED,Jan 2023,Fleet Manager,Rivers,2,TRUST AND SECURITY,155829779
5/7/2026 11:05:00,MANUFACTURING,11 - 50 EMPLOYEES,1 - 5,"£21,207,326.00",2,68,355,MIX OF CASH AND CARD,YES,5,13,YES I WOULD,0,STAYED THE SAME,Sep 2025,Fleet Manager,Lagos,9,NO PERCEIVED NEED,254374173
5/7/2026 11:26:00,Other,11 - 50 EMPLOYEES,51 - 100,"£23,434,355.00",0,64,117,COMPANY ACCOUNT/ CREDIT,NO,1,2,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Rivers,9,COST,281634675
5/7/2026 13:09:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£24,129,853.00",3,59,385,COMPANY ACCOUNT/ CREDIT,NO,5,2,NOT SURE,0,DECREASED,not applicable ,Fleet Manager,Rivers,1,TRUST AND SECURITY,289825534
5/7/2026 19:06:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£11,246,644.00",1,54,119,MIX OF CASH AND CARD,NO,2,13,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Ogun State ,4,NO PERCEIVED NEED,134666884
5/7/2026 19:25:00,CONSTRUCTION,11 - 50 EMPLOYEES,6 - 20,"£1,796,253.00",1,63,231,MIX OF CASH AND CARD,NO,5,22,NOT SURE,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Rivers,14,COST,21424265
5/7/2026 19:46:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,21 - 50,"£9,273,658.00",0,23,313,MIX OF CASH AND CARD,NO,4,22,NOT SURE,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,9,NO PERCEIVED NEED,110907368
5/7/2026 20:23:00,PUBLIC SECTOR,11 - 50 EMPLOYEES,21 - 50,"£15,235,997.00",0,44,183,FUEL CARD ONLY,PLANNING TO,1,12,YES I WOULD,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,OGUN STATE ,8,LACK OF AWARENESS,183095087
5/7/2026 21:10:00,CONSTRUCTION,51 - 200 EMPLOYEES,6 - 20,"£17,665,604.00",2,42,243,MIX OF CASH AND CARD,YES,5,9,NO I WOULD NOT,0,STAYED THE SAME,Jan 2023,Finance Manager,Kaduna,2,TRUST AND SECURITY,211926411
5/8/2026 00:30:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,51 - 100,"£23,118,049.00",5,36,50,MIX OF CASH AND CARD,YES,2,17,NOT SURE,0,INCREASED,Aug 2024,Fleet Manager,Delta,14,NO PERCEIVED NEED,277412404
5/8/2026 01:15:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,1 - 5,"£16,513,492.00",2,43,315,MIX OF CASH AND CARD,YES,3,15,NOT SURE,0,DECREASED,Jan 2022,Finance Manager,Rivers,8,LACK OF AWARENESS,198152861
5/8/2026 01:47:00,OIL AND GAS,51 - 200 EMPLOYEES,6 - 20,"£1,495,502.00",2,48,277,FUEL CARD ONLY,YES,2,20,YES I WOULD,0,INCREASED,Mar 2024,Fleet Manager,Oyo,10,NO PERCEIVED NEED,18434452
5/8/2026 02:23:00,OIL AND GAS,11 - 50 EMPLOYEES,51 - 100,"£2,073,154.00",2,54,62,CASH ONLY,NO,5,14,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Abuja,5,COST,24733707
5/8/2026 07:37:00,MANUFACTURING,11 - 50 EMPLOYEES,6 - 20,"£1,585,350.00",1,38,277,CASH ONLY,PLANNING TO,1,17,YES I WOULD,0,INCREASED,not applicable ,Finance Manager,Kaduna,14,LACK OF AWARENESS,18941810
5/8/2026 07:38:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£15,744,563.00",1,61,42,COMPANY ACCOUNT/ CREDIT,NO,3,17,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Kano,13,NO PERCEIVED NEED,189288770
5/8/2026 08:00:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£10,416,757.00",1,39,90,MIX OF CASH AND CARD,PLANNING TO,5,17,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,5,NO PERCEIVED NEED,124622273
5/8/2026 09:26:00,Other,11 - 50 EMPLOYEES,21 - 50,"£13,079,565.00",3,32,194,MIX OF CASH AND CARD,NO,3,22,NOT SURE,0,INCREASED,not applicable ,Finance Manager,Abuja,14,NO PERCEIVED NEED,157178406
5/8/2026 13:33:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,51 - 100,"£8,985,174.00",3,41,260,MIX OF CASH AND CARD,YES,5,13,YES I WOULD,0,DECREASED,Apr 2024,OPERATIONS MANAGER,Abuja,12,LACK OF AWARENESS,107344368
5/8/2026 14:03:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,21 - 50,"£7,814,573.00",0,61,308,MIX OF CASH AND CARD,YES,1,24,YES I WOULD,0,INCREASED,Aug 2022,Fleet Manager,Rivers,7,TRUST AND SECURITY,94153587
5/8/2026 17:06:00,OIL AND GAS,51 - 200 EMPLOYEES,6 - 20,"£12,399,704.00",2,57,382,CASH ONLY,NO,3,21,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Lagos,14,LACK OF AWARENESS,148340912
5/8/2026 17:59:00,OIL AND GAS,51 - 200 EMPLOYEES,21 - 50,"£1,396,856.00",2,66,149,MIX OF CASH AND CARD,NO,2,7,ALREADY USING IT,16,INCREASED,not applicable ,Finance Manager,Delta,6,LACK OF AWARENESS,16939076
5/8/2026 19:51:00,LOGISTICS/TRANSPORT,11 - 50 EMPLOYEES,6 - 20,"£1,821,864.00",0,54,380,MIX OF CASH AND CARD,NO,5,6,NOT SURE,0,INCREASED,not applicable ,Finance Manager,Kaduna,9,LACK OF AWARENESS,21519574
5/8/2026 20:23:00,LOGISTICS/TRANSPORT,51 - 200 EMPLOYEES,21 - 50,"£19,134,882.00",1,67,371,MIX OF CASH AND CARD,NO,1,21,YES I WOULD,0,DECREASED,not applicable ,CEO/DIRECTOR,Kaduna,9,LACK OF AWARENESS,229845221
5/8/2026 23:16:00,PUBLIC SECTOR,1 - 10 EMPLOYEES,1 - 5,"£18,751,121.00",2,43,293,FUEL CARD ONLY,YES,3,18,NOT SURE,0,DECREASED,Feb 2023,OPERATIONS MANAGER,Abuja,4,TRUST AND SECURITY,225476952
5/9/2026 00:23:00,MANUFACTURING,51 - 200 EMPLOYEES,6 - 20,"£21,707,006.00",2,48,320,CASH ONLY,NO,1,6,NOT SURE,0,INCREASED,not applicable ,CEO/DIRECTOR,Lagos,7,LACK OF AWARENESS,260738223
5/9/2026 00:34:00,MANUFACTURING,11 - 50 EMPLOYEES,1 - 5,"£7,488,907.00",1,37,148,MIX OF CASH AND CARD,YES,1,14,ALREADY USING IT,20,INCREASED,Apr 2022,Finance Manager,Delta,2,TRUST AND SECURITY,89725141
5/9/2026 01:42:00,CONSTRUCTION,1 - 10 EMPLOYEES,51 - 100,"£20,906,308.00",0,20,244,COMPANY ACCOUNT/ CREDIT,PLANNING TO,3,15,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Lagos,7,NO PERCEIVED NEED,251017498
5/9/2026 02:21:00,Other,51 - 200 EMPLOYEES,6 - 20,"£20,472,907.00",1,54,246,MIX OF CASH AND CARD,PLANNING TO,5,6,YES I WOULD,0,STAYED THE SAME,not applicable ,CEO/DIRECTOR,Kaduna,7,TRUST AND SECURITY,245982335
5/9/2026 02:32:00,Other,51 - 200 EMPLOYEES,1 - 5,"£18,753,580.00",2,46,54,MIX OF CASH AND CARD,NO,5,13,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,Rivers,4,NO PERCEIVED NEED,225414499
5/9/2026 03:25:00,MANUFACTURING,51 - 200 EMPLOYEES,6 - 20,"£7,882,658.00",0,68,228,MIX OF CASH AND CARD,PLANNING TO,1,12,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,13,LACK OF AWARENESS,94661884
5/9/2026 03:44:00,LOGISTICS/TRANSPORT,200 +,21 - 50,"£16,318,883.00",2,48,160,CASH ONLY,NO,5,5,NOT SURE,0,STAYED THE SAME,not applicable ,Finance Manager,Abuja,7,COST,195419847
5/9/2026 05:37:00,PUBLIC SECTOR,51 - 200 EMPLOYEES,21 - 50,"£13,135,701.00",5,52,361,MIX OF CASH AND CARD,NO,2,21,NOT SURE,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Delta,5,COST,157524293
5/9/2026 09:08:00,OIL AND GAS,51 - 200 EMPLOYEES,21 - 50,"£9,002,250.00",0,47,367,MIX OF CASH AND CARD,PLANNING TO,1,12,YES I WOULD,0,INCREASED,not applicable ,OPERATIONS MANAGER,Rivers,14,COST,108430622
5/9/2026 12:47:00,OIL AND GAS,200 +,6 - 20,"£4,196,585.00",3,31,96,COMPANY ACCOUNT/ CREDIT,NO,4,13,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,ZARIA ,7,LACK OF AWARENESS,50536318
5/9/2026 14:25:00,OIL AND GAS,51 - 200 EMPLOYEES,21 - 50,"£6,368,454.00",2,51,302,CASH ONLY,YES,4,23,NO I WOULD NOT,0,STAYED THE SAME,Mar 2025,OPERATIONS MANAGER,Lagos,9,NO PERCEIVED NEED,76722071
5/9/2026 14:53:00,CONSTRUCTION,11 - 50 EMPLOYEES,51 - 100,"£7,204,402.00",1,64,34,CASH ONLY,YES,5,21,YES I WOULD,0,STAYED THE SAME,Jun 2022,OPERATIONS MANAGER,Ogun,2,LACK OF AWARENESS,86330761
5/9/2026 15:53:00,LOGISTICS/TRANSPORT,200 +,21 - 50,"£15,064,055.00",1,69,70,MIX OF CASH AND CARD,NO,5,23,NO I WOULD NOT,0,INCREASED,not applicable ,OPERATIONS MANAGER,KOGI STATE ,4,COST,180630375
5/9/2026 17:02:00,CONSTRUCTION,1 - 10 EMPLOYEES,51 - 100,"£14,999,264.00",1,50,396,MIX OF CASH AND CARD,NO,5,24,YES I WOULD,0,STAYED THE SAME,not applicable ,Fleet Manager,Delta,7,NO PERCEIVED NEED,179883900
5/9/2026 21:08:00,Other,1 - 10 EMPLOYEES,6 - 20,"£3,804,585.00",0,27,92,MIX OF CASH AND CARD,NO,3,13,NO I WOULD NOT,0,STAYED THE SAME,not applicable ,OPERATIONS MANAGER,Rivers,7,NO PERCEIVED NEED,45777495
5/9/2026 22:53:00,OIL AND GAS,1 - 10 EMPLOYEES,100 +,"£13,373,064.00",4,31,102,CASH ONLY,NO,5,20,ALREADY USING IT,5,INCREASED,not applicable ,OPERATIONS MANAGER,Oyo,6,LACK OF AWARENESS,160565023
5/9/2026 23:07:00,LOGISTICS/TRANSPORT,1 - 10 EMPLOYEES,6 - 20,"£18,547,104.00",0,53,187,FUEL CARD ONLY,NO,5,17,YES I WOULD,0,INCREASED,not applicable ,Fleet Manager,Ogun,11,COST,222192294
5/9/2026 23:15:00,Other,51 - 200 EMPLOYEES,6 - 20,"£11,105,909.00",1,51,68,FUEL CARD ONLY,YES,5,6,YES I WOULD,0,INCREASED,Jul 2023,CEO/DIRECTOR,Oyo,11,COST,133093820
